iter	Passed	Remaining
918	9072	799
919	9082	789
920	9092	779
921	9101	769
922	9110	760
923	9119	750
924	9129	740
925	9137	730
926	9146	720
927	9155	710
928	9165	700
929	9173	690
930	9183	680
931	9192	670
932	9202	660
933	9211	650
934	9221	641
935	9230	631
936	9241	621
937	9251	611
938	9261	601
939	9271	591
940	9281	581
941	9291	572
942	9301	562
943	9311	552
944	9320	542
945	9331	532
946	9339	522
947	9349	512
948	9358	502
949	9366	492
950	9374	483
951	9384	473
952	9393	463
953	9401	453
954	9410	443
955	9418	433
956	9427	423
957	9435	413
958	9443	403
959	9453	393
960	9463	384
961	9472	374
962	9482	364
963	9493	354
964	9503	344
965	9512	334
966	9522	324
967	9532	315
968	9541	305
969	9551	295
970	9561	285
971	9572	275
972	9583	265
973	9593	256
974	9603	246
975	9614	236
976	9624	226
977	9634	216
978	9642	206
979	9652	196
980	9660	187
981	9668	177
982	9679	167
983	9687	157
984	9698	147
985	9707	137
986	9716	127
987	9724	118
988	9732	108
989	9741	98
990	9750	88
991	9760	78
992	9770	68
993	9781	59
994	9791	49
995	9800	39
996	9810	29
997	9820	19
998	9830	9
999	9839	0
